,brands,product_name,main_category,energy_100g,fat_100g,proteins_100g,salt_100g,carbohydrates_100g,sugars_100g,sodium_100g,saturated-fat_100g
387,Alnatura,Passata Natur,en:plant-based-foods-and-beverages,95.0,0.2,1.3,0.4,3.4,3.4,0.15748031496063,0.0
388,Alnatura,Tomaten Mark,en:plant-based-foods-and-beverages,250.0,0.3,3.6,0.08,8.7,8.4,0.031496062992126,0.05
389,Alnatura,Kokos Milch,en:beverages,909.0,22.2,1.7,0.01,3.4,2.0,0.00393700787401575,21.7
390,Alnatura,Apfelmark mit Aprikose,en:plant-based-foods-and-beverages,221.0,0.3,0.5,0.01,11.0,10.5,0.00393700787401575,0.1
391,Alnatura,Vegetarische Bolognese mit Gemüse,en:groceries,394.0,3.0,5.7,0.699999999999999,9.9,2.7,0.275590551181102,0.5
392,Alnatura,Apfelmark mit Mango,de:fruchmark,247.0,0.4,0.4,0.01,12.4,11.9,0.00393700787401575,0.1
393,Alnatura,Gewürzgurken,en:pickles,130.0,0.2,1.2,1.6,5.6,5.5,0.62992125984252,0.03
394,"Alnatura, ALTANATURA",Apfelmark mit Birne,en:plant-based-foods-and-beverages,250.0,0.4,0.4,0.01,12.4,11.2,0.00393700787401575,0.1
395,Alnatura,Apfelmark mit Johannisbeere,en:plant-based-foods-and-beverages,229.0,0.4,0.5,0.01,11.1,10.6,0.00393700787401575,0.1
396,Alnatura,Kokos Milch,en:beverages,909.0,22.2,0.7,0.01,3.4,2.0,0.00393700787401575,21.7
397,Alnatura,Apfelmark,en:plant-based-foods-and-beverages,231.0,0.5,0.5,0.01,12.0,11.0,0.00393700787401575,0.1
400,Alnatura,Schoko Reis Waffeln,en:plant-based-foods-and-beverages,2050.0,23.4,6.1,0.14,60.7,27.9,0.0551181102362205,14.0
401,Alnatura,Dinkel Mini Brezeln,en:salty-snacks,1723.0,9.5,12.7,4.7,65.8,1.2,1.8503937007874,4.3
402,"Alnatura, ALTANATURA",Dinkel Kräcker Sesam,en:salty-snacks,1910.0,21.4,17.3,2.59999999999999,43.6,0.7,1.02362204724409,3.3
404,Alnatura,Mais-Chips Paprika,en:salty-snacks,2009.0,21.5,6.7,1.3,62.8,1.5,0.511811023622047,2.2
405,"Alnatura Selection,Alnatura",Chili Kirsch,en:sugary-snacks,2383.0,43.4,7.0,0.02,33.6,28.2,0.0078740157480315,27.2
406,Alnatura, Beeren schokoliert,en:sugary-snacks,2296.0,36.5,8.3,0.299999999999999,45.6,45.3,0.118110236220472,22.9
407,Alnatura,Macadamia Creme,en:plant-based-foods-and-beverages,2800.0,58.0,11.0,0.32,26.0,23.0,0.125984251968504,16.0
408,"Alnatura, ALTANATURA",Grissini,en:plant-based-foods-and-beverages,1743.0,9.2,12.3,1.6,68.2,1.5,0.62992125984252,1.6
409,Alnatura,Schoko Mandel Knusper,en:sugary-snacks,2163.0,32.9,8.0,0.650000000000001,46.2,22.6,0.255905511811024,18.5
410,Alnatura,Marzipan Taler,en:sugary-snacks,2184.0,35.7,9.3,0.01,38.7,35.7,0.00393700787401575,14.0
411,Alnatura,Roggen Vollkorn,en:plant-based-foods-and-beverages,794.0,1.1,4.4,1.1,35.7,3.9,0.433070866141732,0.2
412,"Alnatura, ALTANATURA",Trüffel Zartbitter,en:plant-based-foods-and-beverages,2250.0,37.0,7.9,0.08,40.0,37.0,0.031496062992126,17.0
413,Alnatura,Schoko Zimt Mandeln,en:plant-based-foods-and-beverages,2487.0,45.7,11.5,0.13,32.2,32.0,0.0511811023622047,17.4
414,Alnatura,Dinkel Kräcker Curry-Kürbiskern,en:salty-snacks,1885.0,18.7,11.3,2.1,56.9,6.7,0.826771653543307,7.2
416,Alnatura,Zitronen Saft,en:fruit-juices,126.0,0.1,0.4,0.0,3.0,3.0,0.0,0.0
417,Alnatura,Natur Reisflocken,en:baby-foods,1650.0,2.8,7.7,0.02,81.5,0.8,0.0078740157480315,0.7
418,Alnatura,Hafer Getreidebrei,en:baby-foods,1717.0,6.7,12.8,0.02,69.8,1.2,0.0078740157480315,1.4
419,Alnatura,Mini Dinkel Stangen,de:ab-1-jahr,412.0,9.2,12.5,1.0,67.1,1.1,0.393700787401575,4.0
420,Alnatura,Tofu natur,en:plant-based-foods-and-beverages,602.0,8.5,16.0,0.1,0.1,0.1,0.0393700787401575,1.4
421,"Alnatura, Alnatura Bio7 Initiative",Reis Drink,en:beverages,209.0,1.1,0.5,0.07,9.9,7.1,0.0275590551181102,0.1
423,Alnatura,Pralinen Variationen,en:plant-based-foods-and-beverages,2300.0,39.6,7.8,0.1,39.7,38.4,0.0393700787401575,21.3
424,Alnatura,Falafel,en:plant-based-foods-and-beverages,576.0,2.5,8.2,0.8,17.7,1.0,0.31496062992126,0.4
425,Alnatura,Knabber Drachen Paprika,en:salty-snacks,1877.0,15.0,12.0,3.4,64.0,7.2,1.33858267716535,6.6
426,Alnatura,Thai Kokos Curry,en:groceries,524.0,7.4,1.7,1.3,12.2,9.4,0.511811023622047,2.8
427,Alnatura,Sauerkirschen,en:plant-based-foods-and-beverages,289.0,0.5,0.9,0.01,13.0,9.0,0.00393700787401575,0.1
428,Alnatura,Kidney Bohnen,en:plant-based-foods-and-beverages,406.0,0.5,7.7,0.499999999999999,13.0,1.5,0.196850393700787,0.1
429,Alnatura,Limone Mohn,en:sugary-snacks,2418.0,38.0,7.5,0.269999999999999,52.0,52.0,0.106299212598425,24.0
430,Alnatura,Cashew Mus,en:plant-based-foods-and-beverages,2501.0,43.0,21.0,0.04,31.0,5.3,0.015748031496063,8.6
432,Alnatura,Chips im Kessel gebacken Rosmarin & Meersalz,en:salty-snacks,2103.0,27.9,8.0,0.8,51.9,0.5,0.31496062992126,3.8
433,Alnatura,Mandel Drink ungesüßt,en:beverages,146.0,3.3,1.1,0.14,0.5,0.5,0.0551181102362205,0.3
434,Alnatura,Frühstücks Brei,en:plant-based-foods-and-beverages,1520.0,6.3,11.0,0.04,60.0,12.0,0.015748031496063,1.2
435,Alnatura,Leinsamen Plaume & Dattel,en:plant-based-foods-and-beverages,1726.0,22.6,22.8,0.12,12.4,9.6,0.047244094488189,2.2
436,Alnatura,Amaranth Zartbitter,en:sugary-snacks,2020.0,26.0,7.7,0.06,50.0,33.0,0.0236220472440945,16.0
437,Alnatura,Ganze Nuss Vollmilch,en:sugary-snacks,2524.0,45.0,8.9,0.17,40.0,36.0,0.0669291338582677,19.0
438,Alnatura,Sesam ungeschält,en:plant-based-foods-and-beverages,2507.0,53.0,24.0,0.01,2.0,0.5,0.00393700787401575,8.3
441,Alnatura,Obstsalat,en:plant-based-foods-and-beverages,1670.0,13.2,4.7,0.05,62.7,48.5,0.0196850393700787,2.2
443,Proformance,ISO light Grapefruit-Zitrone,de:sports-drink,80.0,0.0,0.0,0.01,4.4,4.3,0.00393700787401575,0.0
445,Freeway,Freeway MixxMax Cola & Orange,de:cola-orangenlimo,168.0,0.1,0.1,0.01,9.8,9.7,0.00393700787401575,0.1
447,Ritter Sport,Ritter Sport Haselnuss,en:sugary-snacks,2340.0,36.0,7.6,0.17,50.0,49.0,0.0669291338582677,17.0
448,Ritter Sport,Ritter Sport Nugat,en:sugary-snacks,2336.0,35.0,7.4,0.13,53.0,51.0,0.0511811023622047,15.0
449,Ritter Sport,Ritter Sport Knusperflakes,en:sugary-snacks,2260.0,31.0,5.7,0.3,58.0,53.0,0.118110236220472,19.0
450,Ritter Sport,Ritter Sport Marzipan,en:sugary-snacks,2088.0,28.0,6.0,0.01,52.0,50.0,0.00393700787401575,14.0
451,Alnatura,Granatapfel Traube,en:plant-based-foods-and-beverages,1610.0,13.0,5.5,0.0299999999999999,54.0,42.0,0.0118110236220472,3.1
452,Alnatura,Dinkel Doppel Keks,en:sugary-snacks,2117.0,24.0,7.4,0.28,63.0,29.0,0.110236220472441,11.0
453,Alnatura,Marzipan Nougat,en:sugary-snacks,2091.0,29.5,6.8,0.0299999999999999,49.1,46.8,0.0118110236220472,8.0
455,Alnatura,Mini „Wiener“ vegan,en:plant-based-foods-and-beverages,1083.0,15.0,26.0,2.2,4.1,2.9,0.866141732283465,1.9
456,Müller,Schlemmer Kiwi & Cremiger Joghurt,en:dairies,435.0,2.5,3.7,0.14,15.6,14.9,0.0551181102362205,1.7
458,iglo,Rahm-Spinat,en:plant-based-foods-and-beverages,227.0,2.6,3.5,0.85,3.3,1.8,0.334645669291339,0.7
461,Gläserne Molkerei,Bio-Joghurt mild,en:dairies,330.0,3.8,4.9,0.15,5.4,5.4,0.0590551181102362,2.5
462,Finck Naturkost,Original Ayurveda Ghee,en:ghee,3853.0,99.7,0.0,0.0,0.0,0.0,0.0,0.0
463,Bio Company,Haferflocken fein,en:plant-based-foods-and-beverages,1468.0,7.1,11.0,0.02,56.0,1.1,0.0078740157480315,1.5
464,Finck Naturkost,Ayurveda Ghee (230G),en:spreads,3761.0,99.9,0.0,0.0,0.0,0.0,0.0,65.8
465,Bio Company,Blütenhonig,en:spreads,1283.0,0.1,0.4,0.0,75.0,74.0,0.0,0.0
466,Vegafit,Vegane Bällchen,en:plant-based-foods-and-beverages,1230.0,15.3,15.3,2.3,17.7,4.1,0.905511811023622,1.7
467,Soja so lecker,Bio Naturell,en:beverages,118.0,1.5,2.6,0.08,0.9,0.7,0.031496062992126,0.3
468,Soja so lecker,BIO Tofu Geräuchert,en:plant-based-foods-and-beverages,685.0,9.5,18.2,1.99898,0.7,0.7,0.787,1.9
470,Soja so lecker,Bio Vanille,en:beverages,166.0,1.0,1.9,0.13,5.6,5.4,0.0511811023622047,0.2
471,Soja so lecker,Bio soja reis,en:beverages,155.0,0.9,1.8,0.08,5.2,4.8,0.031496062992126,0.2
476,Made with Luve,Made with Luve Lupinen Drink Schokolade,en:beverages,360.0,4.5,2.0,0.07,9.6,4.8,0.0275590551181102,4.0
477,Made with Luve,Lupinen Dessert Schokolade,en:desserts,490.0,3.9,3.2,0.16,17.1,12.9,0.062992125984252,3.3
478,Wilmersburger,Scheiben Kräuter,en:plant-based-foods-and-beverages,1227.0,23.3,0.0,2.2,21.5,0.0,0.866141732283465,21.2
481,K-Classic,Baguette mit 20% Kräuterbutterzubereitung,en:plant-based-foods-and-beverages,1431.0,14.0,7.7,1.4,44.0,2.4,0.551181102362205,9.8
482,K-Classic,Baguette mit 20% Knoblauchbutterzubereitung,en:plant-based-foods-and-beverages,1431.0,14.0,7.7,1.4,44.0,2.4,0.551181102362205,9.8
483,K-Classic,Geschälte Tomaten,de:tomatenkonserven,95.0,0.5,1.1,0.3,3.0,3.0,0.118110236220472,0.0
484,K-Classic,Lasagne,en:plant-based-foods-and-beverages,557.0,0.6,4.4,0.01,26.2,1.0,0.00393700787401575,0.2
487,Jeden Tag,Butterkäse,en:dairies,1391.0,26.0,24.0,1.8,0.1,0.1,0.708661417322835,17.9
