,brands,product_name,main_category,energy_100g,fat_100g,proteins_100g,salt_100g,carbohydrates_100g,sugars_100g,sodium_100g,saturated-fat_100g
611,Pluma,Leberpastete mit Preiselbeeren,en:meats,1196.0,21.8,11.9,2.23,11.0,11.0,0.877952755905512,8.5
613,Coca-Cola,Coca-Cola,en:beverages,180.0,0.0,0.0,0.0,10.6,10.6,0.0,0.0
614,Fanta,Fanta Orange,en:beverages,160.0,0.0,0.0,0.008,9.2,9.2,0.00315,0.0
615,Graasten,Ketchup,en:groceries,419.0,0.1,1.0,2.18,23.0,1.8,0.858267716535433,0.0
617,DAN CAKE,Schoko & Stracciatella Muffins,en:sugary-snacks,1646.0,19.0,5.9,1.1,51.0,27.0,0.433070866141732,3.6
619,Arla,Arla Rahmkäse - Bärlauch,en:dairies,1644.0,34.0,22.0,1.7,0.5,0.5,0.669291338582677,22.0
620,Garden Gourmet,Falafel,en:plant-based-foods-and-beverages,835.0,10.0,7.0,1.38,17.5,2.0,0.543307086614173,1.1
621,Wasa,Rustikal,en:plant-based-foods-and-beverages,1377.0,1.5,9.0,1.25,59.3,1.5,0.492125984251968,0.4
622,Wasa,Vollkorn,en:plant-based-foods-and-beverages,1407.0,2.0,9.0,1.0,60.0,1.5,0.393700787401575,0.4
624,Wasa,Mjölk,en:plant-based-foods-and-beverages,1434.0,2.5,11.0,1.26,58.5,3.5,0.496062992125984,0.5
627,Wasa,Delicate Crisp Rosemary & Sea Salt,en:plant-based-foods-and-beverages,1660.0,8.0,11.0,2.75,64.5,3.0,1.08267716535433,2.8
628,Wasa,Ballaststoffe,en:plant-based-foods-and-beverages,1388.0,5.5,13.5,1.25,42.5,2.0,0.492125984251968,1.0
629,"Wasa,Wasa Traditionell",Roggen,en:plant-based-foods-and-beverages,1416.0,2.0,10.0,1.2,60.0,0.3,0.47244094488189,0.5
636,"Ovomaltine,Wander",Ovomaltine Crunchy,en:spreads,2275.0,32.0,3.8,0.3,59.5,54.5,0.118110236220472,7.1
638,"Nescafé,Nestle",Nescafé Typ Cappuccino weniger süß,en:beverages,1683.0,12.5,13.5,1.2,55.7,30.5,0.47244094488189,11.4
