"date","Mcomplete","Stdcomplete","Mlast300","Mlast200","Mlast100","MinCompl","Q25Compl","Q50Compl","Q75Compl","MaxCompl"
"37735",2015-05-01 07:28:21,48.3188622754491,2.60868183045532,47.8352941176471,47.9473684210526,47.8928571428571,43,46,48,50,55
"38093",2015-05-02 07:27:45,44.319350473613,3.55533746777899,45.6588235294118,45.3421052631579,44.6379310344828,37,42,44,46,54
"37778",2015-05-03 06:48:30,44.6020278833967,2.69070517887553,45.2514619883041,46.2654867256637,44.5862068965517,38,43,45,46,52
"38003",2015-05-04 06:33:54,41.231905465288,2.19554108451012,40.8100558659218,40.6470588235294,40.4166666666667,37,39,41,43,48
"38054",2015-05-05 06:34:37,46.7421289355322,2.40858268197362,46.8197674418605,45.6324786324786,44.2,42,45,47,49,52
"37677",2015-05-06 06:30:03,47.93724420191,3.92085520135035,46.8947368421053,48.3513513513514,47.4464285714286,41,45,47,51,60
"37327",2015-05-07 06:29:23,46.5871428571429,3.21381235018396,47.7916666666667,47.5663716814159,45.7368421052632,40,44,46,48,56
"37516",2015-05-08 06:31:13,44.594427244582,3.10282190593817,44.1988636363636,43.551724137931,43.2372881355932,38,42,45,47,53
"37507",2015-05-09 06:57:37,46.062865497076,3.77521717130562,47.396449704142,45.9565217391304,47.7017543859649,39,43,45,49,55
"37472",2015-05-10 06:47:05,43.5531295487627,3.59376905931722,45.6882352941176,46.8214285714286,49.2909090909091,37,40,44,46,53
"37214",2015-05-11 06:38:06,41.4562410329986,2.71090691644618,41.8397790055249,42.4426229508197,41.7540983606557,37,39,41,43,49
"37617",2015-05-12 06:40:20,42.770206022187,3.43087750199245,41.9830508474576,42.228813559322,41.2372881355932,37,41,42,44,58
"38026",2015-05-13 06:23:53,44.475,3.21518307269171,45.9294117647059,45.280701754386,45.2105263157895,39,42,44,47,52
"37539",2015-05-14 07:17:24,44.6102941176471,3.24095292077163,44.6686046511628,46.0265486725664,47.1785714285714,39,42,45,47,52
"37289",2015-05-15 06:47:34,40.4957507082153,2.53779578568138,40.3611111111111,40.125,40.0166666666667,36,39,40,42,50
"38108",2015-05-16 07:03:53,43.3499267935578,2.84325808950716,42.8409090909091,42.7008547008547,43.0508474576271,37,41,43,46,49
"37624",2015-05-17 06:51:19,42.267053701016,3.60693415662019,42.9550561797753,44.0756302521008,41.9322033898305,37,39,42,44,52
"37421",2015-05-18 06:26:45,42.5937031484258,2.99571604870681,42.2386363636364,43.5217391304348,44.7017543859649,37,41,43,45,54
"37780",2015-05-19 06:27:15,43.0172413793103,2.83853065228374,42.4213483146067,42.2857142857143,42.4166666666667,38,41,43,45,50
"38117",2015-05-20 06:28:54,46.6529745042493,3.18061030620169,44.854748603352,43.4628099173554,44.9032258064516,40,44,47,49,54
"37611",2015-05-21 06:27:44,45.2662807525326,2.90452030052059,43.9602272727273,44.2241379310345,44.3448275862069,39,43,45,47,54
"37406",2015-05-22 06:28:47,46.4687953555878,3.60909282474874,45.0872093023256,44.1465517241379,44.6724137931034,39,44,47,49,55
"38038",2015-05-23 07:00:48,44.6485294117647,3.96802361176474,43.4237288135593,43.4201680672269,40.3833333333333,38,41,44,47,56
"38085",2015-05-24 07:24:23,45.490538573508,3.08992732530985,46.6588235294118,46.5614035087719,48.5535714285714,40,43,45,47,54
"37560",2015-05-26 06:29:22,41.0940860215054,2.33914950968516,41.6404494382022,41.3109243697479,41.2833333333333,37,39,41,43,46
"37971",2015-05-27 06:32:15,40.9059829059829,2.32329727559902,40.8674033149171,40.1065573770492,40.7903225806452,36,39,41,42,47
"37723",2015-05-28 06:41:17,42.3784461152882,2.0155323070548,42.7303370786517,41.9586776859504,43.2131147540984,37,41,42,44,47
"37673",2015-05-29 07:31:40,47.5424164524422,3.21056417761282,47.3391812865497,47.1875,46,40,45,48,50,56
"38079",2015-05-30 07:48:36,42.6920863309353,2.31213640332474,42.6022727272727,43.5470085470085,43.051724137931,38,41,42,44,50
"37593",2015-05-31 07:17:30,46.175,3.13754020747888,45.046783625731,45.780701754386,45.280701754386,39,44,46,49,54
"37616",2015-06-01 06:46:05,41.5134730538922,2.88013376920382,43.5681818181818,42.4700854700855,43.9298245614035,37,39,41,44,50
"37978",2015-06-02 06:32:09,41.468660968661,2.28897080863486,42.1647727272727,42.6752136752137,43.2881355932203,36,40,42,43,47
"38162",2015-06-03 06:35:28,45.012012012012,2.54815395478749,45.8176470588235,45.7256637168142,46.4642857142857,39,43,45,47,50
"37821",2015-06-04 06:52:14,42.9617737003058,3.01299999631704,42.6514285714286,42.698275862069,41.5932203389831,38,40,43,45,50
"37921",2015-06-05 06:37:09,43.9570815450644,3.6866351292792,44.0172413793103,43.5431034482759,43.8103448275862,38,41,44,46,56
"37393",2015-06-06 07:09:59,48.1327561327561,4.36151496254197,47.3392857142857,46.4778761061947,46.3684210526316,41,45,47,51,60
"38044",2015-06-07 06:56:55,44.3890374331551,2.54275096548845,45.0058139534884,44.6086956521739,45.3157894736842,39,42,44,46,50
"37777",2015-06-08 06:47:37,42.1274362818591,2.22400496225505,41.3222222222222,41.0420168067227,41.45,38,40,42,44,47
"37744",2015-06-09 06:44:35,40.1619613670134,2.62126895018797,38.6813186813187,38.6363636363636,39.2333333333333,37,38,39,42,48
"37452",2015-06-10 06:28:46,41.7251356238698,2.27072604380034,41.8465909090909,41.8135593220339,43.2931034482759,37,40,42,43,47
"38151",2015-06-11 06:26:35,42.1480891719745,2.82708130187486,42.0677966101695,41.7394957983193,41.1833333333333,36,40,42.5,44,49
"37684",2015-06-12 06:28:44,46.5668073136428,2.64750125419964,46.8461538461538,47.070796460177,47.75,40,45,47,48,53
"37582",2015-06-13 06:59:55,43.6006097560976,2.9934686551661,45.0350877192982,44.5565217391304,43.1724137931034,37,41,44,46,52
"37670",2015-06-14 07:16:54,44.9985007496252,3.31503955306159,46.3470588235294,45.9210526315789,44.6206896551724,39,42,45,48,51
"37753",2015-06-15 06:38:00,39.8965517241379,2.05329226184702,40.4972067039106,40.375,39.9166666666667,36,38,39,41,45
"37538",2015-06-16 06:40:08,47.0510204081633,3.15238625539964,46.9649122807018,46.4336283185841,48.4107142857143,40,45,47,49,55
"38104",2015-06-17 06:26:14,48.5757162346521,3.81166023609566,50.9704142011834,53.2,55.0566037735849,41,46,49,51,58
"37909",2015-06-18 06:24:09,48.8550247116969,4.05841060734423,48.9473684210526,46.6869565217391,46.2931034482759,41,46,48,51,60
"37254",2015-06-19 06:34:46,43.998347107438,2.67778398395901,44.5202312138728,44.4568965517241,43.7627118644068,39,42,43,46,51
"38127",2015-06-20 07:05:51,45.6489208633093,3.26900047530758,45.1929824561403,43.9565217391304,43.0689655172414,38,43,46,48,53
"37955",2015-06-21 07:03:33,46.927191679049,3.70718261820113,47.1156069364162,49.0521739130435,47.7213114754098,39,44,47,50,53
"37339",2015-06-22 06:20:11,41.0131795716639,2.60169231654034,40.3687150837989,40.125,42.1864406779661,36,39,41,43,46
"37576",2015-06-23 06:38:58,47.01062215478,3.75724743328798,46.4335260115607,45.8157894736842,48.1785714285714,40,44,47,50,56
"37323",2015-06-24 06:20:29,44.7643593519882,3.86159853038981,43.6264367816092,43.5726495726496,43.3898305084746,38,42,44,47,58
"37933",2015-06-25 06:16:58,41.8157894736842,2.28003772149145,43.2298850574713,43.3706896551724,43.3793103448276,38,40,42,43,49
"37505",2015-06-26 06:44:06,48.6307692307692,3.71549551977247,49.7378048780488,48,49.3454545454545,41,46,49,51,56
"37743",2015-06-27 07:31:58,42.7226753670473,2.2312599434604,42.1590909090909,42.2542372881356,43.3728813559322,39,41,42,44,50
"37826",2015-06-28 07:18:57,44.8249258160237,3.83681649827595,46.0235294117647,45.8245614035088,45.1578947368421,38,42,45,48,55
"37610",2015-06-29 06:34:22,46.2352941176471,2.56185710816884,47.2619047619048,47.4285714285714,48.8909090909091,41,45,46,48,52
"37485",2015-06-30 06:43:34,49.4635193133047,3.59556789862115,50.1090909090909,48.2035398230088,47.3214285714286,40,48,50,51,60
"37552",2015-07-01 06:43:55,53.0443262411348,4.81189538546508,54.4050632911392,55.9611650485437,56.8846153846154,41,50,54,56,65
"37747",2015-07-02 06:22:24,47.1719457013575,4.55851485561801,47.0476190476191,49.3090909090909,51.037037037037,38,43,48,51,56
"37412",2015-07-03 06:34:24,47.8452380952381,3.88199726620471,47.8034682080925,46.8559322033898,49.8947368421053,41,45,47,51,58
"37985",2015-07-04 06:20:47,45.0648148148148,4.01105076632582,44.8381502890173,46.3097345132743,44.1379310344828,37,42,45,48,54
"37993",2015-07-06 06:30:30,46.3888888888889,3.71042278993595,46.9473684210526,45.1478260869565,47.1228070175439,40,43,46,49,58
"37976",2015-07-07 06:42:43,42.6986531986532,2.95755782147777,43.4237288135593,43.6470588235294,42.5967741935484,38,40,42,45,50
"38046",2015-07-08 06:20:32,44.5064011379801,4.00813297025375,44.271676300578,46.3805309734513,45.3859649122807,37,41,44,48,56
"37290",2015-07-09 06:21:39,43.2744479495268,3.80741897723622,43.2833333333333,44.198347107438,41.8305084745763,38,40,42,46,54
"37903",2015-07-10 06:19:42,49.6503267973856,3.51689165285749,50.478527607362,50.8703703703704,52.1481481481481,43,47,49,52,62
"37432",2015-07-13 06:40:34,44.148031496063,3.48409750054849,44.0404624277457,44.3739130434783,43.5172413793103,38,41,44,47,54
"37518",2015-07-14 06:30:24,40.2880258899676,2.76313172088233,40.2944444444444,40.5882352941176,38.5081967213115,36,38,40,42,47
"37731",2015-07-15 06:19:25,45.7516447368421,4.14591725795679,45.8538011695906,46.8053097345133,48.0701754385965,39,42,45,49,57
"37257",2015-07-16 06:20:16,43.3888,3.34274031604503,43.7988505747126,44.1637931034483,43.8965517241379,38,41,43,46,51
"37413",2015-07-17 06:35:54,46.7078825347759,3.28845193026075,47.4912280701754,49.3185840707965,47.5932203389831,40,44,47,49,56
"37216",2015-07-18 07:29:37,49.6793997271487,3.0856752889614,51.1226993865031,50.8272727272727,49.2142857142857,43,48,49,52,58
"37856",2015-07-19 07:07:39,45.0626822157434,2.71581060602002,44.6220930232558,44.4086956521739,44.2758620689655,39,43,45,47,52
"38135",2015-07-20 06:26:53,39.1510333863275,1.47195211834234,38.4402173913044,38.5934959349593,38.5245901639344,36,38,39,40,45
"37775",2015-07-21 06:30:59,45.3818466353678,3.60660084086737,46.2025316455696,45,44.6724137931034,38,43,46,48,53
"37310",2015-07-22 06:22:58,40.8569157392687,2.34151211981062,39.9779005524862,39.7166666666667,39.6833333333333,37,39,40,42,48
"37625",2015-07-23 06:22:35,41.4354354354354,1.69196407813222,42.1011235955056,42.5762711864407,42.65,38,40,41,43,45
"38075",2015-07-24 06:35:46,42.5230769230769,2.5746643523383,43.9132947976879,43.4529914529915,42.3220338983051,37,40,43,44,49
"38147",2015-07-25 07:17:20,43.9986376021798,2.73699296203306,44.5755813953488,44.8245614035088,43.0172413793103,38,42,44,46,49
"37520",2015-07-26 06:54:30,42.2926447574335,2.19299091163078,43.5459770114943,43.7586206896552,43.6896551724138,38,41,42,44,47
"37759",2015-07-27 06:29:54,41.6681957186544,2.09315901376083,40.9550561797753,40.7226890756302,39.1967213114754,37,40,42,43,46
"37738",2015-07-28 06:48:01,40.8106870229008,2.63548044434744,41.4406779661017,41.5555555555556,42.5084745762712,35,39,41,43,47
"37792",2015-07-29 06:28:27,40.7391975308642,2.01037662957977,40.1777777777778,40.45,41.1166666666667,37,39,41,42,47
"37238",2015-07-30 06:25:40,40.5305810397554,2.1650461373214,42.1193181818182,43.25,44.8275862068966,36,39,40,42,48
"37605",2015-07-31 06:30:19,41.8785811732606,1.75873841878508,43.2988505747126,43.7068965517241,43.948275862069,38,41,42,43,45
"37364",2015-08-01 07:00:23,42.6043656207367,1.75915483231646,44.0346820809249,44.304347826087,44.4210526315789,38,41,43,44,47
"37774",2015-08-02 06:55:05,46.1127717391304,2.75474604571774,46.3941176470588,46.6991150442478,46.3392857142857,41,44,46,48,53
"38072",2015-08-03 06:48:37,44.7553041018388,2.79838774141477,45.2906976744186,45.3826086956522,43.4915254237288,39,42,45,47,50
"37451",2015-08-04 06:43:51,46.5928057553957,2.7779919428517,46.3529411764706,46.6194690265487,44.5862068965517,41,44,47,49,53
"38099",2015-08-05 06:32:56,43.644578313253,2.78925985899072,44,43.8362068965517,43.2931034482759,38,42,44,46,49
"37591",2015-08-06 06:32:42,45.8123209169054,3.86879767711475,46.1411764705882,47.9196428571429,45.7758620689655,39,42,46,49,54
"37370",2015-08-07 06:35:33,45.8827493261456,2.16424109782632,47.1845238095238,47.7321428571429,46.4736842105263,39,44,46,47,51
"37239",2015-08-08 06:39:38,40.9762258543834,2.23261125065089,40.8736263736264,41,40.75,37,39,40,42,47
"37716",2015-08-09 06:49:36,45.5929577464789,3.40317714094565,46.4651162790698,46.9304347826087,45.1379310344828,39,43,45,48,57
"37859",2015-08-10 07:29:03,42.0995405819296,1.42745314739147,41.5932203389831,41.5847457627119,40.75,39,41,42,43,46
"37345",2015-08-11 07:58:40,45.2650602409639,2.29280118005629,45.5672514619883,45.4912280701754,45.4561403508772,41,44,45,46,54
"38041",2015-08-12 07:29:29,41.8859649122807,2.94038006705558,41.5423728813559,41.5932203389831,42.3728813559322,37,39,41,44,50
"37263",2015-08-13 08:00:51,43.5885885885886,2.24488500409574,42.1534090909091,41.7033898305085,41.8983050847458,39,42,43,45,50
"37434",2015-08-14 07:30:06,41.0675287356322,1.8912240143765,40.9830508474576,40.9411764705882,40.8666666666667,37,40,41,42,46
"37828",2015-08-15 07:38:37,40.3869047619048,2.35184069139728,39.4918032786885,39.5245901639344,38.3333333333333,37,39,40,41,47
"37575",2015-08-16 07:35:48,41.6466575716235,1.89962762782233,41.5988700564972,42.0512820512821,41.0169491525424,38,40,42,43,46
"38098",2015-08-17 07:52:13,44.1166892808684,2.21530150620108,44.867816091954,44.6666666666667,44.3166666666667,39,43,44,46,51
"37380",2015-08-18 07:47:26,41.4436310395315,2.11633078804591,41.3370165745856,41.3983050847458,41.4237288135593,37,40,41,43,47
"37996",2015-08-19 07:34:51,42.2036775106082,2.12987332826083,41.9491525423729,42.2222222222222,41.0666666666667,38,41,42,43,48
"37905",2015-08-20 07:14:18,42.4444444444444,2.58261349665765,42.8685714285714,43.1034482758621,42.3559322033898,37,41,43,44,51
"37389",2015-08-21 07:41:03,42.4487577639752,2.14240639045269,42.9943820224719,43.3247863247863,44.4827586206897,37,41,42,44,49
"37554",2015-08-22 07:49:24,47.6011904761905,2.99853890093423,46.4882352941176,45.1130434782609,43.0169491525424,40,45,48,50,54
"37696",2015-08-23 06:54:19,41.815625,1.58447265655612,41.5084745762712,41.3050847457627,40.1666666666667,38,41,42,43,46
"37403",2015-08-24 06:47:37,43.9657894736842,2.36986092416599,43.4022988505747,43.301724137931,43.2881355932203,40,42,44,46,49
"37773",2015-08-25 06:46:11,44.9330601092896,2.11751859830458,45.2732558139535,44.304347826087,44.2241379310345,40,44,45,46,51
