"date","Mcomplete","Stdcomplete","Mlast300","Mlast200","Mlast100","MinCompl","Q25Compl","Q50Compl","Q75Compl","MaxCompl"
"40149",2016-05-12 01:43:15,47.5759075907591,3.97305142235405,47.1904761904762,47.8468468468468,47.9285714285714,44,45,47,48,68
"40324",2016-05-13 01:41:35,46.7636363636364,3.42400950051291,46.8343195266272,47.4196428571429,47.7142857142857,44,45,46,47,66
"40266",2016-05-14 00:34:44,50.4059900166389,4.80814212836589,48.4939759036145,48.5765765765766,47.6666666666667,45,47,49,51,68
"40115",2016-05-15 01:11:19,53.219298245614,5.2084134517317,51.9937888198758,52.5700934579439,50.0727272727273,48,50,52,54,78
"40065",2016-05-16 09:14:32,54.4116719242902,4.2122880551986,54.1139240506329,54.9615384615385,56.6153846153846,49,51,53,57,73
"39950",2016-05-17 06:31:20,57.8667763157895,2.35771679182976,58.3790849673203,56.9514563106796,56.3653846153846,54,56,57,59,65
"40262",2016-05-18 08:20:54,53.0687397708674,3.00576302459769,54.0506329113924,52.5981308411215,52.462962962963,48,51,52,54,67
"39875",2016-05-19 07:40:35,51.3830845771144,2.92443806189919,51.1296296296296,51.1481481481481,51.5740740740741,48,50,51,52,68
"40069",2016-05-20 07:32:04,60.5533661740558,3.23389623632867,63.2054794520548,64.9072164948454,62.9387755102041,55,58,60,62,72
"40198",2016-05-22 08:19:44,56.9304635761589,2.49811851926929,58.1503267973856,58.5686274509804,58.4705882352941,52,55,57,58,69
"39917",2016-05-23 08:12:13,55.0352941176471,3.30152661193758,54.9554140127389,53.2641509433962,52.3148148148148,51,53,54,56,68
"40150",2016-05-24 07:59:54,53.5182724252492,1.926390417025,54.7707006369427,56.1442307692308,55.4150943396226,50,52,53,55,61
"40019",2016-05-25 07:56:26,53.156146179402,3.2600343646138,55.0700636942675,55.8846153846154,56.3396226415094,48,51,53,55,66
"40226",2016-05-26 07:52:24,55.5191347753744,3.76431267521779,58.2763157894737,57.9901960784314,58.078431372549,49,53,55,58,69
"40072",2016-05-27 07:11:26,57.109243697479,5.13846967872389,57.9605263157895,59.36,64.2244897959184,50,53,56,60,74
"40064",2016-05-28 06:31:07,52.6069651741293,3.78049082450949,54.1075949367089,55.9038461538462,56.8846153846154,47,50,51,56,68
"40081",2016-05-29 09:01:24,57.1423841059603,3.28213288833076,58.794701986755,58.950495049505,58.2156862745098,50,55,57,59,68
"40470",2016-05-31 06:28:40,51.5993431855501,4.04746504025615,51.1543209876543,51.045871559633,51.4363636363636,46,49,51,53,69
"40086",2016-06-01 08:10:52,57.0909090909091,4.38814733789965,56.5032258064516,54.9047619047619,54.5283018867925,52,54,56,59,75
"40172",2016-06-02 08:21:19,57.2757475083056,2.56892537067583,56.4,56.7087378640777,56,53,56,57,59,72
"39886",2016-06-03 07:36:15,55.6886326194399,3.00059168122157,58.0196078431373,57.6796116504854,58,49,54,55,58,64
"39905",2016-06-04 06:31:07,51.7508361204013,4.72774245422347,53.5,56.3300970873786,53.9433962264151,45,48,50,54,70
"40051",2016-06-05 08:21:19,59.0165289256198,2.86154994087913,59.5695364238411,59.59,60.06,55,57,58,60,68
"39878",2016-06-06 07:40:44,55.1544850498339,4.45921299294114,54.4493670886076,56.1634615384615,58,49,52,54,57.75,69
"40469",2016-06-07 06:28:48,49.7586776859504,4.38592853447452,49.2,49.9174311926606,50.1090909090909,45,47,48,51,69
"40261",2016-06-08 08:41:17,56.4509493670886,3.85112810573917,56.5870967741935,56.1634615384615,56.8846153846154,50,54,56,58,69
"40338",2016-06-09 07:29:42,52.5640599001664,2.98546023639114,54.2784810126582,53,53.811320754717,47,50,52,54,64
"40299",2016-06-10 07:21:07,56.995145631068,5.15009487361955,59.4635761589404,62.010101010101,64.0204081632653,48,52.25,57,62,69
"40191",2016-06-11 06:31:18,50.4611486486486,3.86469691767857,51.5776397515528,51.4907407407407,53.3207547169811,46,48,49,52,70
"39946",2016-06-12 07:58:59,50.1214642262895,2.40905690796242,50.9135802469136,52.5607476635514,53.5849056603774,46,48,50,52,57
"40339",2016-06-13 07:27:08,53.4040404040404,2.95811978905381,54.6114649681529,54.2095238095238,55.3846153846154,48,51,53,55,66
"40231",2016-06-14 06:26:29,50.6457990115321,4.25290558558887,50.5153374233129,50.4770642201835,50.537037037037,46,48,49,52,71
"40451",2016-06-15 07:40:48,49.8673300165838,3.2322570622538,50.5731707317073,50.5045871559633,51.0909090909091,46,48,50,51,70
"40401",2016-06-16 07:48:07,51.6893687707641,4.00018967107152,54.0189873417722,53.1698113207547,54.1509433962264,47,49,51,53,68
"39979",2016-06-17 06:51:28,57.6600331674959,3.20280887917248,57.5584415584416,57.2427184466019,57.5769230769231,51,56,57,59,70
"40359",2016-06-18 07:28:15,56.0679611650485,2.94826972608407,55.6794871794872,57.0776699029126,58.3529411764706,51,54,56,58,69
"40457",2016-06-19 06:27:50,51.6852459016393,3.98428093924308,51.9751552795031,52.3364485981308,52.6415094339623,47,49,51,53,69
"40050",2016-06-20 07:46:57,54.6666666666667,2.85007431272237,55.6410256410256,56.7766990291262,56.0566037735849,49,52,55,57,61
