"calc_ident_id","rr_min","rr_max","rr_mean","rr_max_min_rel","sdnn","sd1","sd2","rmssd","pnn50","power_hf","power_lf","power_lf_hf","power_total","power_vlf"
"3867",37924,1108,1840,1459.1,1.66,148.48,102.19,183.44,144.53,78.75,3545.82,4969.91,1.4,8683.83,112.23
"3868",37927,1145,1781,1431.16,1.56,132,92.31,162.25,130.55,71.3,4405.13,2228.82,0.51,6792.03,160.7
"3869",37928,998,1636,1280.63,1.64,124.43,70.39,161.28,99.54,65.01,2544.69,3118.09,1.23,6023.95,106.39
"3870",37929,719,1652,1198.11,2.3,157.97,64.43,213.91,91.12,55.3,3156.13,2989.25,0.95,6696.02,428.63
"3878",37930,1077,1665,1344.13,1.55,115.31,74.29,145.17,105.06,68.43,3283.1,1778.26,0.54,5491.78,319.25
"3881",37933,1111,1737,1419.34,1.56,127.78,82.32,160.87,116.42,66.82,3239.36,3104.19,0.96,6425.83,71.87
"3882",37935,700,1828,1358.89,2.61,150.86,96.77,190.14,136.87,75.75,4389.56,2349.43,0.54,7203.95,376.21
"3883",42266,944,1676,1298.31,1.78,148.94,82.49,193.81,116.66,69.25,3752.07,3742.81,1,7859.4,288.77
"3884",37939,1116,1742,1388.69,1.56,112.67,95.93,127.23,135.66,79.95,5202.61,1054.39,0.2,6363.88,146.14
"3888",37941,1026,1691,1289.94,1.65,119.39,74.44,151.55,105.28,70.8,2853.08,1269,0.44,4240.73,117.24
"3889",37942,1191,1777,1402.69,1.49,102.83,93.2,111.63,131.8,80.3,3810.72,649.3,0.17,4551,42.28
"3890",37943,962,1733,1309.39,1.8,142.29,92.01,178.96,130.12,74.95,4441.18,2064.91,0.46,6706.07,103.32
"3891",37944,1037,1606,1252.36,1.55,108.8,74.67,134.54,105.6,64.21,3071.59,2128.88,0.69,5442.21,170.16
"3892",37945,1008,1805,1334.55,1.79,167.68,95.94,216.86,135.68,73.72,5104.43,2412.72,0.47,7687.21,234.07
"3893",37949,1037,1605,1323.2,1.55,136.58,68.73,180.51,97.2,62.94,1964.18,3814.61,1.94,6009.83,184.42
"3894",37952,1041,1703,1327.94,1.64,141.54,86.17,180.67,121.86,72.41,3671.37,2283.16,0.62,6171.23,87.54
"3895",37954,994,1783,1400.15,1.79,139.83,122.67,155.11,173.48,81.19,7445.24,6336.21,0.85,14219.24,144.85
"3896",37955,991,1702,1270.57,1.72,151.25,80.86,198.03,114.36,65.81,3331.39,2253.93,0.68,5672.18,59.23
"3897",37956,1042,1852,1342.75,1.78,169.9,95.53,220.47,135.11,69.9,4952.48,3023.59,0.61,8187.28,351.45
"3898",37959,1081,1694,1385.9,1.57,129.86,94.49,157.48,133.63,73.93,5049.12,4620.96,0.92,10033.19,334.01
"3899",37960,1073,1852,1400.21,1.73,153.28,99.51,192.58,140.73,75.98,4502.56,2193.4,0.49,6626.91,75.27
"3900",37962,904,1640,1203.61,1.81,122.12,62.16,161.13,87.91,57.96,2343.45,2224.93,0.95,4722.86,83.39
"3901",37965,700,1579,1141.95,2.26,118.83,52.35,159.69,74.04,48.88,1717.62,1523.13,0.89,3366.35,106.75
"3902",37966,708,1620,1231.55,2.29,161.77,81.11,213.92,114.71,65.08,4499.87,2070.35,0.46,6885.4,260.21
"3903",37968,1028,1767,1341.79,1.72,123.79,89.72,150.33,126.89,73.6,4722.4,1905.22,0.4,6855.31,198.35
"3904",37970,1029,1789,1386.9,1.74,149.97,115.97,177.57,164.01,80.8,6054.97,3257.96,0.54,9399.58,34.39
"3905",37971,1043,1785,1453.29,1.71,136.52,93.5,168.92,132.23,78.11,4455.89,1945.77,0.44,6593.74,185.32
"3906",37972,1106,1642,1326.93,1.48,111.84,85.68,132.95,121.17,70.07,4315.94,1681.53,0.39,6128.28,71.04
"3907",37973,1130,1728,1378.09,1.53,113.58,86.56,135.31,122.41,76.4,3894,1421.84,0.37,5323.95,25.2
"3908",37976,1049,1780,1396.43,1.7,152.55,89.32,196.38,126.32,75.97,3674.6,5283.43,1.44,9508.19,303.16
"3909",37977,975,1678,1343.28,1.72,141.4,74.14,185.72,104.86,63.38,2289.93,1656.3,0.72,4745.27,752.06
"3910",37978,1148,1854,1434.71,1.61,131.9,83.71,166.7,118.38,70.04,4621.55,1804.68,0.39,6528.91,89.17
"3911",37979,1035,1848,1357.16,1.79,155.33,94.76,198.18,134.02,77.45,4677.98,2754.7,0.59,7737.11,484.32
"3912",37980,1000,1571,1272.78,1.57,107.64,70.6,134.86,99.84,66.17,2847.48,1153.11,0.4,4219.9,215.29
"3922",37981,1018,1855,1394.57,1.82,157.45,80.21,207.72,113.43,71.12,3478.41,2501.27,0.72,6214.03,208.03
"3923",37983,1102,1797,1383.17,1.63,138.27,84.34,176.42,119.27,69.26,4070.99,2290.65,0.56,6675.54,191.77
"3924",37984,700,1750,1341.27,2.5,157.97,104.79,197.3,148.2,74.95,5899.73,2327.36,0.39,8522.93,261.16
"3925",37985,1010,1815,1324.81,1.8,172.34,99.62,222.44,140.89,74.58,4863.86,2138.25,0.44,7292.61,216.1
"3926",37987,1151,1811,1488.87,1.57,123.43,93,147.72,131.52,71.9,4005.46,3512.64,0.88,8114.72,519.75
"3927",37988,881,1535,1142.72,1.74,109.96,55.28,145.35,78.18,48.75,2103.38,3121.47,1.48,5468.69,278.26
"3928",37989,990,1596,1268.85,1.61,118.62,56.11,158.09,79.35,53.38,1333.59,2741.65,2.06,4402.29,228.35
"3929",37991,767,1756,1220.79,2.29,168,68.75,227.42,97.24,39.07,3552.59,5084.26,1.43,10162.96,1360.29
"3930",37993,929,1671,1287.83,1.8,147.62,76.95,194.07,108.82,64.13,3421.37,2630.39,0.77,6479.79,427.11
"3931",37996,1032,1773,1410.76,1.72,120.42,79.21,150.76,112.02,69.51,2483.19,2650.33,1.07,5810.97,624.74
"3932",38002,1186,1838,1460.7,1.55,124.12,95.2,147.48,134.63,75.35,3848.72,2936.01,0.76,6934.84,138.77
"3933",38003,1120,1781,1447.61,1.59,121.95,83.76,150.76,118.45,75.98,3693.97,2309.01,0.63,6419.71,350.96
"3934",38006,944,1436,1154.27,1.52,73.2,51.04,90.06,72.18,55.1,1068.71,1320.89,1.24,2525.71,92.63
"3935",38009,1208,1801,1492.07,1.49,127.3,77.43,162.53,109.51,68.37,2153.88,2820.62,1.31,5470.45,448.26
"3936",38015,944,1685,1290.24,1.78,141.07,86.98,179.54,123.01,69.61,3806.78,2839.45,0.75,6971.78,185.72
"3937",38018,951,1788,1299.97,1.88,175.53,96.36,228.77,136.27,68.2,4456.55,3748.71,0.84,9623.88,1141.71
"3938",38019,936,1662,1190.18,1.78,127.87,64.6,168.9,91.36,53.61,1725.89,2776.26,1.61,5205.36,634.39
"3939",38021,1095,1691,1329.09,1.54,130.68,73.77,169.45,104.32,64.27,2443.18,2640.88,1.08,5247.34,106.05
"3953",38024,991,1602,1180.91,1.62,108.65,58.79,141.96,83.14,56.69,1990.51,1113.98,0.56,3195.65,76.24
"3954",38026,1051,1716,1341.53,1.63,139.98,76.33,182.66,107.94,70.91,2893.28,2718.42,0.94,6408.52,707.69
"3955",38027,1010,1776,1291.38,1.76,154.61,94.29,197.27,133.35,67.37,3577.7,3220.02,0.9,7105.99,255.62
"3956",38031,1142,1819,1443.28,1.59,128.64,90.32,157.92,127.73,77.08,4545.8,1985.86,0.44,6735.02,114.33
"3957",38035,952,1718,1262.49,1.8,140.24,92.31,175.54,130.55,73.61,5468.61,2515.97,0.46,8226.65,154.66
"3958",38036,941,1621,1255.04,1.72,130.1,75.49,167.79,106.76,63.9,3100.97,2669.17,0.86,6255.77,405.16
"3959",38037,1068,1691,1312.4,1.58,108.67,66.62,138.49,94.22,61.23,3132.46,2560.59,0.82,5808.8,123.59
"3960",38038,985,1772,1338.19,1.8,159.79,84.5,209.58,119.5,68.88,3485.64,1426.98,0.41,5037.09,55.92
"3961",38039,1008,1720,1262.59,1.71,124.95,72.49,161.15,102.52,66.18,3140.25,2305.51,0.73,5768.23,292.5
"3962",38040,1092,1836,1452.06,1.68,137.25,91.57,171.15,129.49,73.9,3736.62,3405.08,0.91,7303.84,92.87
"3963",38041,1012,1810,1427.24,1.79,155.19,84.57,202.53,119.6,61.44,2754.57,3512.15,1.28,7303.15,944.94
"3964",38043,927,2021,1262.59,2.18,159.52,80.38,210.79,113.67,65.94,4831.61,5245.77,1.09,10419.66,149.99
"3965",38044,1038,1732,1341.34,1.67,129.68,80.7,164.69,114.12,69.58,3990.42,3277.37,0.82,7491.03,196.45
"3966",38045,1018,1798,1356.33,1.77,163.21,88.91,213,125.73,70.24,4113.08,5249.68,1.28,9767.02,316.67
"3967",38046,930,1892,1342.87,2.03,183.92,103.81,238.49,146.81,71.4,5934.72,5691.45,0.96,12304.27,836.98
"3968",38048,1085,1844,1527.02,1.7,128.09,92.85,155.54,131.31,73.9,3206.86,7309.72,2.28,11014.08,607.95
"3969",38051,1058,1668,1310.74,1.58,116.63,76.21,146.28,107.78,71.83,3393.35,2262.7,0.67,6115.24,427.72
"3970",38052,1014,1638,1289.94,1.62,124.35,80.13,156.54,113.32,70.86,3633.92,2380.49,0.66,6358.65,177.8
