,Geldgeber,Kategorie,Betrag,Empfänger,Jahr,Ort,Bundesland,Branche,Schlagworte
"Parteispende:Daimler AG-SPD-2009",Daimler,Kategorie:Parteispende,"150000,00 €",SPD,2009,Stuttgart,,,
"Parteispende:E.ON AG-CSU-2006","E.ON AG",Kategorie:Parteispende,"50000,00 €",CSU,2006,Düsseldorf,,,
"Parteispende:Dr. Ing. h. c. F. Porsche AG-CDU-2007","Dr. Ing. h. c. F. Porsche AG",Kategorie:Parteispende,"100000,00 €",CDU,2007,Stuttgart,,,
"Parteispende:Fachverband Kartonverpackungen für flüssige Nahrungsmittel e.V.-CDU-2005","Fachverband Kartonverpackungen für flüssige Nahrungsmittel e.V.",Kategorie:Parteispende,"25000,00 €",CDU,2005,Wiesbaden,,,
"Parteispende:Dr. Willmar Schwabe GmbH & Co. KG-CDU-2006","Dr. Willmar Schwabe GmbH & Co. KG",Kategorie:Parteispende,"10500,00 €",CDU,2006,Karlsruhe,,,
"Parteispende:EST Marketing-Service GmbH-SPD-2004","EST Marketing-Service GmbH",Kategorie:Parteispende,"22924,40 €",SPD,2004,Essen,,,
"Parteispende:Deutscher Sparkassen- und Giroverband e.V.-SPD-2001","Deutscher Sparkassen- und Giroverband e.V.",Kategorie:Parteispende,"30677,40 €",SPD,2001,Bonn,,,
"Parteispende:Evonik Industries AG-CDU-2016","Evonik Industries AG",Kategorie:Parteispende,"90000,00 €",CDU,2016,Essen,,,
"Parteispende:EADS Deutschland GmbH-CDU-2007","EADS Deutschland GmbH",Kategorie:Parteispende,"20000,00 €",CDU,2007,Ottobrunn,,,
"Parteispende:Commerzbank AG-CDU-2005","Commerzbank AG",Kategorie:Parteispende,"150000,00 €",CDU,2005,"Frankfurt am Main",,,
"Parteispende:Ersol AG-GRÜNE-2005","Ersol AG",Kategorie:Parteispende,"25000,00 €","Bündnis 90/Die Grünen",2005,Erfurt,,,
"Parteispende:Engel & Völkers AG-CDU-2009","Engel & Völkers AG",Kategorie:Parteispende,"12500,00 €",CDU,2009,Hamburg,,,
"Parteispende:Deutsche Bank AG-CDU-2007","Deutsche Bank AG",Kategorie:Parteispende,"280000,00 €",CDU,2007,"Frankfurt am Main",,,
"Parteispende:DAIICHI SANKYO Deutschland GmbH-CDU-2009","DAIICHI SANKYO Deutschland GmbH",Kategorie:Parteispende,"19900,00 €",CDU,2009,München,,,
"Parteispende:Fachverband Kartonverpackungen für flüssige Nahrungsmittel e.V.-CDU-2002","Fachverband Kartonverpackungen für flüssige Nahrungsmittel e.V.",Kategorie:Parteispende,"17500,00 €",CDU,2002,Wiesbaden,,,
"Parteispende:EFA Tankstellenbetriebe u. Mineralölhandel GmbH-CDU-2005","EFA Tankstellenbetriebe u. Mineralölhandel GmbH",Kategorie:Parteispende,"15000,00 €",CDU,2005,Ettlingen,,,
"Parteispende:Evonik Industries AG-SPD-2008","Evonik Industries AG",Kategorie:Parteispende,"100000,00 €",SPD,2008,Essen,,,
"Parteispende:Commerzbank AG-CDU-2002","Commerzbank AG",Kategorie:Parteispende,"150000,00 €",CDU,2002,"Frankfurt am Main",,,
"Parteispende:Deutsche Bank AG-CDU-2000","Deutsche Bank AG",Kategorie:Parteispende,"250532,10 €",CDU,2000,"Frankfurt am Main",,,
"Parteispende:DZ Bank AG-FDP-2015","DZ Bank AG",Kategorie:Parteispende,"20000,00 €",FDP,2015,"Frankfurt a.M.",,,
"Parteispende:ECE Projektmanagement GmbH & Co. KG-CDU-2001","ECE Projektmanagement GmbH & Co. KG",Kategorie:Parteispende,"17892,59 €",CDU,2001,Hamburg,,,
"Parteispende:E.ON AG-SPD-2008","E.ON AG",Kategorie:Parteispende,"50000,00 €",SPD,2008,Düsseldorf,,,
"Parteispende:Dr. Ing. h. c. F. Porsche AG-SPD-2006","Dr. Ing. h. c. F. Porsche AG",Kategorie:Parteispende,"20000,00 €",SPD,2006,Stuttgart,,,
"Parteispende:Deutsche Vermögensberatung AG DVAG-FDP-2015","Deutsche Vermögensberatung AG DVAG",Kategorie:Parteispende,"75000,00 €",FDP,2015,"Frankfurt a.M.",,,
"Parteispende:F & F Burda Vermögensverwaltung GmbH & Co.-CDU-2001","F & F Burda Vermögensverwaltung GmbH & Co.",Kategorie:Parteispende,"27098,37 €",CDU,2001,Baden-Baden,,,
"Parteispende:Erck Rickmers GmbH & Cie. KG-FDP-2008","Erck Rickmers GmbH & Cie. KG",Kategorie:Parteispende,"50000,00 €",FDP,2008,Hamburg,,,
"Parteispende:Dreyer Planungsgesellschaft mbH-CSU-2008","Dreyer Planungsgesellschaft mbH",Kategorie:Parteispende,"15000,00 €",CSU,2008,München,,,
"Parteispende:Allianz AG/SE-FDP-2000","Allianz AG/SE",Kategorie:Parteispende,"35790,30 €",FDP,2000,München,,,
"Parteispende:Douglas Holding AG-CDU-2005","Douglas Holding AG",Kategorie:Parteispende,"35000,00 €",CDU,2005,Hagen,,,
"Parteispende:Dr. Theiss Naturwaren GmbH-CDU-2009","Dr. Theiss Naturwaren GmbH",Kategorie:Parteispende,"25000,00 €",CDU,2009,Homburg,,,
"Parteispende:Dr. Ing. h. c. F. Porsche AG-CDU-2003","Dr. Ing. h. c. F. Porsche AG",Kategorie:Parteispende,"30000,00 €",CDU,2003,Stuttgart,,,
"Parteispende:Dr. Theiss Naturwaren GmbH-CDU-2007","Dr. Theiss Naturwaren GmbH",Kategorie:Parteispende,"12500,00 €",CDU,2007,Homburg,,,
"Parteispende:E. Breuninger GmbH & Co.-CDU-2002","E. Breuninger GmbH & Co.",Kategorie:Parteispende,"14008,50 €",CDU,2002,Stuttgart,,,
"Parteispende:DKV Deutsche Krankenversicherung AG-CDU-2000","DKV Deutsche Krankenversicherung AG",Kategorie:Parteispende,"11759,67 €",CDU,2000,Köln,,,
"Parteispende:Eutop GmbH-CDU-2002","Eutop GmbH",Kategorie:Parteispende,"19750,00 €",CDU,2002,München,,,
"Parteispende:Deutscher Hausärzteverband e.V.-CDU-2009","Deutscher Hausärzteverband e.V.",Kategorie:Parteispende,"18000,00 €",CDU,2009,Köln,,,
"Parteispende:BMW Bayerische Motoren Werke AG-CDU-2000","BMW Bayerische Motoren Werke AG",Kategorie:Parteispende,"51167,57 €",CDU,2000,München,,,
"Parteispende:Conergy AG-SPD-2005","Conergy AG",Kategorie:Parteispende,"24500,00 €",SPD,2005,Hamburg,,,
"Parteispende:Erck Rickmers GmbH & Cie. KG-CDU-2007","Erck Rickmers GmbH & Cie. KG",Kategorie:Parteispende,"50000,00 €",CDU,2007,Hamburg,,,
"Parteispende:Deutsche Vermögensberatung AG DVAG-CDU-2009","Deutsche Vermögensberatung AG DVAG",Kategorie:Parteispende,"234900,00 €",CDU,2009,"Frankfurt am Main",,,
Parteispende:Bruch-Beteiligungs-GmbH-SPD-2009,Bruch-Beteiligungs-GmbH,Kategorie:Parteispende,"12000,00 €",SPD,2009,"Sankt Wendel",,,
"Parteispende:BMW Bayerische Motoren Werke AG-CSU-2009","BMW Bayerische Motoren Werke AG",Kategorie:Parteispende,"157444,00 €",CSU,2009,München,,,
"Parteispende:Deutsche Vermögensberatung AG DVAG-FDP-2001","Deutsche Vermögensberatung AG DVAG",Kategorie:Parteispende,"28120,95 €",FDP,2001,"Frankfurt am Main",,,
"Parteispende:Deutsche Bank AG-FDP-2002","Deutsche Bank AG",Kategorie:Parteispende,"50000,00 €",FDP,2002,"Frankfurt am Main",,,
"Parteispende:Dr. Ing. h. c. F. Porsche AG-SPD-2003","Dr. Ing. h. c. F. Porsche AG",Kategorie:Parteispende,"30000,00 €",SPD,2003,Stuttgart,,,
"Parteispende:ERGO Versicherungsgruppe AG-FDP-2015","ERGO Versicherungsgruppe AG",Kategorie:Parteispende,"15000,00 €",FDP,2015,Düsseldorf,,,
"Parteispende:EMBO Textilproduktionsgesellschaft mbH & Co. KG-CDU-2002","EMBO Textilproduktionsgesellschaft mbH & Co. KG",Kategorie:Parteispende,"15556,46 €",CDU,2002,Berlin,,,
"Parteispende:Deutscher Sparkassen- und Giroverband e.V.-GRÜNE-2001","Deutscher Sparkassen- und Giroverband e.V.",Kategorie:Parteispende,"12782,25 €","Bündnis 90/Die Grünen",2001,Berlin,,,
"Parteispende:Dussmann AG & Co. KGaA-CDU-2001","Dussmann AG & Co. KGaA",Kategorie:Parteispende,"12782,25 €",CDU,2001,Berlin,,,
"Parteispende:Bayerische Hypotheken und Vereinsbank AG-SPD-2002","Bayerische Hypotheken und Vereinsbank AG",Kategorie:Parteispende,"15000,00 €",SPD,2002,München,,,
"Parteispende:E. Breuninger GmbH & Co.-CDU-2004","E. Breuninger GmbH & Co.",Kategorie:Parteispende,"22599,00 €",CDU,2004,Stuttgart,,,
"Parteispende:E.ON AG-SPD-2006","E.ON AG",Kategorie:Parteispende,"150000,00 €",SPD,2006,Düsseldorf,,,
"Parteispende:Commerzbank AG-FDP-2007","Commerzbank AG",Kategorie:Parteispende,"41250,00 €",FDP,2007,"Frankfurt am Main",,,
"Parteispende:EADS Deutschland GmbH-SPD-2003","EADS Deutschland GmbH",Kategorie:Parteispende,"26000,00 €",SPD,2003,Ottobrunn,,,
"Parteispende:Capital Lease GmbH-CDU-2003","Capital Lease GmbH",Kategorie:Parteispende,"20800,00 €",CDU,2003,Hamburg,,,
"Parteispende:Dr. August Oetker KG-CSU-2009","Dr. August Oetker KG",Kategorie:Parteispende,"20000,00 €",CSU,2009,Bielefeld,,,
"Parteispende:Dr. August Oetker KG-FDP-2009","Dr. August Oetker KG",Kategorie:Parteispende,"35000,00 €",FDP,2009,Bielefeld,,,
"Parteispende:Dr. Ing. h. c. F. Porsche AG-SPD-2002","Dr. Ing. h. c. F. Porsche AG",Kategorie:Parteispende,"30000,00 €",SPD,2002,Stuttgart,,,
"Parteispende:E.ON AG-FDP-2009","E.ON AG",Kategorie:Parteispende,"50000,00 €",FDP,2009,Düsseldorf,,,
"Parteispende:E.ON AG-CDU-2008","E.ON AG",Kategorie:Parteispende,"50000,00 €",CDU,2008,Düsseldorf,,,
"Parteispende:Bucholz-Fachinformationsdienst GmbH-SPD-2009","Bucholz-Fachinformationsdienst GmbH",Kategorie:Parteispende,"20000,00 €",SPD,2009,Bexbach,,,
"Parteispende:Deutsche Bank AG-CDU-2004","Deutsche Bank AG",Kategorie:Parteispende,"325800,00 €",CDU,2004,"Frankfurt am Main",,,
"Parteispende:Commerzbank AG-FDP-2006","Commerzbank AG",Kategorie:Parteispende,"60000,00 €",FDP,2006,"Frankfurt am Main",,,
"Parteispende:DDB Beamtenbund und Tarifunion-CDU-2004","DDB Beamtenbund und Tarifunion",Kategorie:Parteispende,"22000,00 €",CDU,2004,Berlin,,,
"Parteispende:Commerzbank AG-CSU-2002","Commerzbank AG",Kategorie:Parteispende,"100000,00 €",CSU,2002,"Frankfurt am Main",,,
"Parteispende:Capital Lease GmbH-CDU-2006","Capital Lease GmbH",Kategorie:Parteispende,"20000,00 €",CDU,2006,Hamburg,,,
"Parteispende:Dussmann AG & Co. KGaA-CDU-2004","Dussmann AG & Co. KGaA",Kategorie:Parteispende,"17000,00 €",CDU,2004,Berlin,,,
"Parteispende:E. Breuninger GmbH & Co.-CDU-2009","E. Breuninger GmbH & Co.",Kategorie:Parteispende,"29000,00 €",CDU,2009,Stuttgart,,,
"Parteispende:Dresdner Bank AG-CDU-2001","Dresdner Bank AG",Kategorie:Parteispende,"20451,60 €",CDU,2001,"Frankfurt am Main",,,
"Parteispende:E.ON AG-SPD-2005","E.ON AG",Kategorie:Parteispende,"150000,00 €",SPD,2005,Düsseldorf,,,
"Parteispende:E.ON AG-CDU-2009","E.ON AG",Kategorie:Parteispende,"50000,00 €",CDU,2009,Düsseldorf,,,
"Parteispende:DaimlerChrysler AG-CDU-2004","DaimlerChrysler AG",Kategorie:Parteispende,"150630,00 €",CDU,2004,Stuttgart,,,
"Parteispende:Dussmann AG & Co. KGaA-CDU-2002","Dussmann AG & Co. KGaA",Kategorie:Parteispende,"12000,00 €",CDU,2002,Berlin,,,
"Parteispende:Dresdner Bank AG-FDP-2000","Dresdner Bank AG",Kategorie:Parteispende,"35790,30 €",FDP,2000,"Frankfurt am Main",,,
"Parteispende:Dr. Ing. h. c. F. Porsche AG-FDP-2004","Dr. Ing. h. c. F. Porsche AG",Kategorie:Parteispende,"19000,00 €",FDP,2004,Stuttgart,,,
"Parteispende:DL Holding GmbH-SPD-2004","DL Holding GmbH",Kategorie:Parteispende,"17000,00 €",SPD,2004,Tessenow,,,
"Parteispende:E.ON AG-FDP-2005","E.ON AG",Kategorie:Parteispende,"50000,00 €",FDP,2005,Düsseldorf,,,
"Parteispende:Deutscher Sparkassen- und Giroverband e.V.-CSU-2001","Deutscher Sparkassen- und Giroverband e.V.",Kategorie:Parteispende,"12782,25 €",CSU,2001,Bonn,,,
"Parteispende:Dresdner Bank AG-GRÜNE-2000","Dresdner Bank AG",Kategorie:Parteispende,"25564,50 €","Bündnis 90/Die Grünen",2000,"Frankfurt am Main",,,
"Parteispende:Dresdner Bank AG-CDU-2002","Dresdner Bank AG",Kategorie:Parteispende,"11225,84 €",CDU,2002,"Frankfurt am Main",,,
"Parteispende:Altana AG-CDU-2000","Altana AG",Kategorie:Parteispende,"35790,30 €",CDU,2000,"Bad Homburg vor der Höhe",,,
"Parteispende:Dieffenbacher GmbH & Co. KG-FDP-2003","Dieffenbacher GmbH & Co. KG",Kategorie:Parteispende,"20000,00 €",FDP,2003,Eppingen,,,
"Parteispende:Dr. August Oetker KG-CDU-2009","Dr. August Oetker KG",Kategorie:Parteispende,"125060,00 €",CDU,2009,Bielefeld,,,
"Parteispende:BTA Betriebs- und Anlagengesellschaft mbH-SPD-2005","BTA Betriebs- und Anlagengesellschaft mbH",Kategorie:Parteispende,"36000,00 €",SPD,2005,Berlin,,,
"Parteispende:DIBAG Industriebau AG-CDU-2000","DIBAG Industriebau AG",Kategorie:Parteispende,"15077,64 €",CDU,2000,München,,,
"Parteispende:Deutsche Bank AG-FDP-2006","Deutsche Bank AG",Kategorie:Parteispende,"220000,00 €",FDP,2006,"Frankfurt am Main",,,
"Parteispende:Deutsche Bank AG-FDP-2005","Deutsche Bank AG",Kategorie:Parteispende,"200250,00 €",FDP,2005,"Frankfurt am Main",,,
"Parteispende:BTA Betriebs- und Anlagengesellschaft mbH-GRÜNE-2009","BTA Betriebs- und Anlagengesellschaft mbH",Kategorie:Parteispende,"12000,00 €","Bündnis 90/Die Grünen",2009,Berlin,,,
"Parteispende:Dr. Kurt Wolff GmbH & Co. KG-CDU-2009","Dr. Kurt Wolff GmbH & Co. KG",Kategorie:Parteispende,"27500,00 €",CDU,2009,Bielefeld,,,
"Parteispende:Daimler AG-CDU-2016",Daimler,Kategorie:Parteispende,"100000,00 €",CDU,2016,Stuttgart,,,
"Parteispende:Brose Fahrzeugteile GmbH & Co. KG-CSU-2005","Brose Fahrzeugteile GmbH & Co. KG",Kategorie:Parteispende,"13234,67 €",CSU,2005,Coburg,,,
"Parteispende:DSK Grundbesitzverwaltungs GmbH-CSU-2002","DSK Grundbesitzverwaltungs GmbH",Kategorie:Parteispende,"430000,00 €",CSU,2002,München,,,
"Parteispende:Dr. August Oetker KG-FDP-2003","Dr. August Oetker KG",Kategorie:Parteispende,"15000,00 €",FDP,2003,Bielefeld,,,
Parteispende:Contact-Werbung-CDU-2006,Contact-Werbung,Kategorie:Parteispende,"11571,58 €",CDU,2006,Karlsruhe,,,
"Parteispende:Deutsche Bank AG-CDU-2001","Deutsche Bank AG",Kategorie:Parteispende,"224967,60 €",CDU,2001,"Frankfurt am Main",,,
"Parteispende:COLUMBIA Deutschland GmbH-CDU-2007","COLUMBIA Deutschland GmbH",Kategorie:Parteispende,"20000,00 €",CDU,2007,Hamburg,,,
"Parteispende:Daimler AG-CDU-2007",Daimler,Kategorie:Parteispende,"150000,00 €",CDU,2007,Stuttgart,,,
"Parteispende:Douglas Holding AG-FDP-2000","Douglas Holding AG",Kategorie:Parteispende,"15338,70 €",FDP,2000,Hagen,,,
"Parteispende:Deutsche Bank AG-CDU-2006","Deutsche Bank AG",Kategorie:Parteispende,"305000,00 €",CDU,2006,"Frankfurt am Main",,,
"Parteispende:Deutsche Vermögensberatung AG DVAG-CDU-2007","Deutsche Vermögensberatung AG DVAG",Kategorie:Parteispende,"230700,00 €",CDU,2007,"Frankfurt am Main",,,
"Parteispende:Deutsche Bank AG-CDU-2009","Deutsche Bank AG",Kategorie:Parteispende,"255000,00 €",CDU,2009,"Frankfurt am Main",,,
"Parteispende:DaimlerChrysler AG-CSU-2004","DaimlerChrysler AG",Kategorie:Parteispende,"40000,00 €",CSU,2004,Stuttgart,,,
"Parteispende:Daimler Benz AG-CDU-2002","Daimler Benz AG",Kategorie:Parteispende,"150000,00 €",CDU,2002,Stuttgart,,,
"Parteispende:Deutsche Bank AG-FDP-2004","Deutsche Bank AG",Kategorie:Parteispende,"100000,00 €",FDP,2004,"Frankfurt am Main",,,
"Parteispende:Duales System Deutschland GmbH-FDP-2009","Duales System Deutschland GmbH",Kategorie:Parteispende,"20000,00 €",FDP,2009,Köln,,,
"Parteispende:Allianz AG/SE-SPD-2006","Allianz AG/SE",Kategorie:Parteispende,"60001,00 €",SPD,2006,München,,,
"Parteispende:Dr. Willmar Schwabe GmbH & Co. KG-CDU-2005","Dr. Willmar Schwabe GmbH & Co. KG",Kategorie:Parteispende,"12900,00 €",CDU,2005,Karlsruhe,,,
"Parteispende:Dr. Ing. h. c. F. Porsche AG-FDP-2005","Dr. Ing. h. c. F. Porsche AG",Kategorie:Parteispende,"80000,00 €",FDP,2005,Stuttgart,,,
"Parteispende:DI HAG Deutsche Gießerei- und Industrie-Holding AG-CDU-2008","DI HAG Deutsche Gießerei- und Industrie-Holding AG",Kategorie:Parteispende,"14900,00 €",CDU,2008,Essen,,,
"Parteispende:Dr. Ing. h. c. F. Porsche AG-CDU-2005","Dr. Ing. h. c. F. Porsche AG",Kategorie:Parteispende,"265000,00 €",CDU,2005,Stuttgart,,,
"Parteispende:Deutsche Vermögensberatung AG DVAG-CDU-2003","Deutsche Vermögensberatung AG DVAG",Kategorie:Parteispende,"20000,00 €",CDU,2003,"Frankfurt am Main",,,
"Parteispende:Druckhaus Gera GmbH-CDU-2004","Druckhaus Gera GmbH",Kategorie:Parteispende,"11128,00 €",CDU,2004,Gera,,,
"Parteispende:Brauerei Moninger AG-CDU-2006","Brauerei Moninger AG",Kategorie:Parteispende,"13689,78 €",CDU,2006,Karlsruhe,,,
"Parteispende:Deutsche Vermögensberatung AG DVAG-FDP-2005","Deutsche Vermögensberatung AG DVAG",Kategorie:Parteispende,"45000,00 €",FDP,2005,"Frankfurt am Main",,,
"Parteispende:BMW Bayerische Motoren Werke AG-GRÜNE-2002","BMW Bayerische Motoren Werke AG",Kategorie:Parteispende,"23895,66 €","Bündnis 90/Die Grünen",2002,München,,,
"Parteispende:AMAND Umwelttechnik Grumbach GmbH & Co. KG-CDU-2009","AMAND Umwelttechnik Grumbach GmbH & Co. KG",Kategorie:Parteispende,"15000,00 €",CDU,2009,Wilsdruff,,,
"Parteispende:Deutsche Bank AG-SPD-2003","Deutsche Bank AG",Kategorie:Parteispende,"100000,00 €",SPD,2003,"Frankfurt am Main",,,
"Parteispende:Dr. Ing. h. c. F. Porsche AG-CDU-2006","Dr. Ing. h. c. F. Porsche AG",Kategorie:Parteispende,"25000,00 €",CDU,2006,Stuttgart,,,
"Parteispende:Deutscher Beamtenwirtschaftsbund (BWB) GmbH-CDU-2002","Deutscher Beamtenwirtschaftsbund (BWB) GmbH",Kategorie:Parteispende,"47958,00 €",CDU,2002,Bonn,,,
"Parteispende:DIBAG Industriebau AG-CDU-2009","DIBAG Industriebau AG",Kategorie:Parteispende,"12000,00 €",CDU,2009,München,,,
"Parteispende:Daimler Benz AG-FDP-2002","Daimler Benz AG",Kategorie:Parteispende,"60050,00 €",FDP,2002,Stuttgart,,,
"Parteispende:Deutsche Vermögensberatung AG DVAG-SPD-2009","Deutsche Vermögensberatung AG DVAG",Kategorie:Parteispende,"15000,00 €",SPD,2009,"Frankfurt am Main",,,
"Parteispende:Deutsche Sparkassen und Giroverband-FDP-2001","Deutsche Sparkassen und Giroverband",Kategorie:Parteispende,"12782,25 €",FDP,2001,Bonn,,,
"Parteispende:Deutsche Bank AG-FDP-2009","Deutsche Bank AG",Kategorie:Parteispende,"220000,00 €",FDP,2009,"Frankfurt am Main",,,
"Parteispende:Commerzbank AG-FDP-2005","Commerzbank AG",Kategorie:Parteispende,"50650,00 €",FDP,2005,"Frankfurt am Main",,,
"Parteispende:Commerzbank AG-CDU-2001","Commerzbank AG",Kategorie:Parteispende,"58798,35 €",CDU,2001,"Frankfurt am Main",,,
"Parteispende:Beton & Rohrbau C.-F. Thymian GmbH & Co. KG-FDP-2009","Beton & Rohrbau C.-F. Thymian GmbH & Co. KG",Kategorie:Parteispende,"12000,00 €",FDP,2009,Berlin,,,
"Parteispende:CMAC GmbH & Co Verlags KG-FDP-2005","CMAC GmbH & Co Verlags KG",Kategorie:Parteispende,"29202,39 €",FDP,2005,Erfurt,,,
"Parteispende:Deutsche Vermögensberatung AG DVAG-FDP-2009","Deutsche Vermögensberatung AG DVAG",Kategorie:Parteispende,"170000,00 €",FDP,2009,"Frankfurt am Main",,,
"Parteispende:Dr. Ing. h. c. F. Porsche AG-SPD-2007","Dr. Ing. h. c. F. Porsche AG",Kategorie:Parteispende,"75000,00 €",SPD,2007,Stuttgart,,,
"Parteispende:Deutsche Bank AG-GRÜNE-2009","Deutsche Bank AG",Kategorie:Parteispende,"25000,00 €","Bündnis 90/Die Grünen",2009,"Frankfurt am Main",,,
"Parteispende:Deutsche Vermögensberatung AG DVAG-CSU-2009","Deutsche Vermögensberatung AG DVAG",Kategorie:Parteispende,"13950,00 €",CSU,2009,"Frankfurt am Main",,,
"Parteispende:Dr. Ing. h. c. F. Porsche AG-SPD-2005","Dr. Ing. h. c. F. Porsche AG",Kategorie:Parteispende,"220000,00 €",SPD,2005,Stuttgart,,,
"Parteispende:Bundesverband der Deutschen Entsorgungswirtschaft e.V.-CDU-2005","Bundesverband der Deutschen Entsorgungswirtschaft e.V.",Kategorie:Parteispende,"15000,00 €",CDU,2005,Berlin,,,
"Parteispende:DaimlerChrysler AG-SPD-2003","DaimlerChrysler AG",Kategorie:Parteispende,"150000,00 €",SPD,2003,Stuttgart,,,
"Parteispende:Deutsche Bank AG-CSU-2004","Deutsche Bank AG",Kategorie:Parteispende,"25000,00 €",CSU,2004,"Frankfurt am Main",,,
"Parteispende:Capital Lease GmbH-CDU-2005","Capital Lease GmbH",Kategorie:Parteispende,"20000,00 €",CDU,2005,Hamburg,,,
"Parteispende:Dr. August Wolff GmbH & Co. KG Arzneimittel-CDU-2009","Dr. August Wolff GmbH & Co. KG Arzneimittel",Kategorie:Parteispende,"27500,00 €",CDU,2009,Bielefeld,,,
"Parteispende:Dr. August Oetker KG-CDU-2017","Dr. August Oetker KG",Kategorie:Parteispende,"68000,00 €",CDU,2017,Bielefeld,,,
"Parteispende:Deutsche Vermögensberatung AG DVAG-CDU-2008","Deutsche Vermögensberatung AG DVAG",Kategorie:Parteispende,"22500,00 €",CDU,2008,"Frankfurt am Main",,,
"Parteispende:Dorther KG-CSU-2005","Dorther KG",Kategorie:Parteispende,"35000,00 €",CSU,2005,Nürnberg,,,
"Parteispende:BTA Betriebs- und Anlagengesellschaft mbH-SPD-2009","BTA Betriebs- und Anlagengesellschaft mbH",Kategorie:Parteispende,"52000,00 €",SPD,2009,Berlin,,,
"Parteispende:DKV Deutsche Krankenversicherung AG-FDP-2009","DKV Deutsche Krankenversicherung AG",Kategorie:Parteispende,"10250,00 €",FDP,2009,Köln,,,
"Parteispende:Deutsche Bank AG-SPD-2004","Deutsche Bank AG",Kategorie:Parteispende,"100000,00 €",SPD,2004,"Frankfurt am Main",,,
"Parteispende:Deutsche Bank AG-FDP-2007","Deutsche Bank AG",Kategorie:Parteispende,"200000,00 €",FDP,2007,"Frankfurt am Main",,,
"Parteispende:Central Krankenversicherung-FDP-2000","Central Krankenversicherung",Kategorie:Parteispende,"13293,54 €",FDP,2000,Köln,,,
"Parteispende:Deutsche Vermögensberatung AG DVAG-FDP-2008","Deutsche Vermögensberatung AG DVAG",Kategorie:Parteispende,"55000,00 €",FDP,2008,"Frankfurt am Main",,,
"Parteispende:Deutsche Vermögensberatung AG DVAG-FDP-2006","Deutsche Vermögensberatung AG DVAG",Kategorie:Parteispende,"45000,00 €",FDP,2006,"Frankfurt am Main",,,
"Parteispende:Dom-Brauerei GmbH-CDU-2000","Dom-Brauerei GmbH",Kategorie:Parteispende,"17128,22 €",CDU,2000,Köln,,,
"Parteispende:DaimlerChrysler AG-GRÜNE-2002","DaimlerChrysler AG",Kategorie:Parteispende,"15000,00 €","Bündnis 90/Die Grünen",2002,Stuttgart,,,
"Parteispende:DaimlerChrysler AG-GRÜNE-2007","DaimlerChrysler AG",Kategorie:Parteispende,"15000,00 €","Bündnis 90/Die Grünen",2007,Stuttgart,,,
"Parteispende:Celesio AG-FDP-2009","Celesio AG",Kategorie:Parteispende,"15000,00 €",FDP,2009,Stuttgart,,,
"Parteispende:Deutscher Beamtenbund und Tarifunion-FDP-2004","Deutscher Beamtenbund und Tarifunion",Kategorie:Parteispende,"10150,00 €",FDP,2004,Berlin,,,
"Parteispende:Deutsche Bank AG-SPD-2009","Deutsche Bank AG",Kategorie:Parteispende,"50000,00 €",SPD,2009,"Frankfurt am Main",,,
"Parteispende:BayWa AG-CSU-2006","BayWa AG",Kategorie:Parteispende,"25070,00 €",CSU,2006,München,,,
"Parteispende:Daimler AG-CSU-2008",Daimler,Kategorie:Parteispende,"40000,00 €",CSU,2008,Stuttgart,,,
"Parteispende:Capital Lease GmbH-CDU-2007","Capital Lease GmbH",Kategorie:Parteispende,"130000,00 €",CDU,2007,Hamburg,,,
"Parteispende:DaimlerChrysler AG-FDP-2001","DaimlerChrysler AG",Kategorie:Parteispende,"159999,41 €",FDP,2001,Stuttgart,,,
"Parteispende:BMW Bayerische Motoren Werke AG-CSU-2005","BMW Bayerische Motoren Werke AG",Kategorie:Parteispende,"93984,62 €",CSU,2005,München,,,
"Parteispende:Deininger Unternehmensberatungs GmbH-CDU-2006","Deininger Unternehmensberatungs GmbH",Kategorie:Parteispende,"13500,00 €",CDU,2006,"Frankfurt am Main",,,
"Parteispende:DaimlerChrysler AG-SPD-2005","DaimlerChrysler AG",Kategorie:Parteispende,"300000,00 €",SPD,2005,Stuttgart,,,
"Parteispende:Celesio AG-CDU-2008","Celesio AG",Kategorie:Parteispende,"20000,00 €",CDU,2008,Stuttgart,,,
"Parteispende:Clou Container Leasing GmbH-CDU-2008","Clou Container Leasing GmbH",Kategorie:Parteispende,"100000,00 €",CDU,2008,Hamburg,,,
"Parteispende:BMW Bayerische Motoren Werke AG-CSU-2001","BMW Bayerische Motoren Werke AG",Kategorie:Parteispende,"93152,95 €",CSU,2001,München,,,
"Parteispende:Deutsche Bank AG-CSU-2008","Deutsche Bank AG",Kategorie:Parteispende,"25000,00 €",CSU,2008,"Frankfurt am Main",,,
"Parteispende:CMC CENTERMANAGEMENT GmbH-CDU-2007","CMC CENTERMANAGEMENT GmbH",Kategorie:Parteispende,"18750,00 €",CDU,2007,Schönefeld,,,
"Parteispende:Commerzbank AG-CSU-2001","Commerzbank AG",Kategorie:Parteispende,"25564,50 €",CSU,2001,"Frankfurt am Main",,,
"Parteispende:Daimler AG-FDP-2015",Daimler,Kategorie:Parteispende,"40000,00 €",FDP,2015,Stuttgart,,,
"Parteispende:DaimlerChrysler AG-CSU-2003","DaimlerChrysler AG",Kategorie:Parteispende,"40000,00 €",CSU,2003,Stuttgart,,,
